"#Id","#Entidad","#AÃ±o","#PoblaciÃ³n"
"1","Madrid","2011","3265038"
"1","Madrid","2012","3233527"
"1","Madrid","2013","3207247"
"1","Madrid","2014","3165235"
"1","Madrid","2015","3141991"
"1","Madrid","2016","3165541"
"1","Madrid","2017","3182981"
"1","Madrid","2018","3223334"
"1","Madrid","2019","3266126"
"1","Madrid","2020","3334730"
"1","Madrid","2021","3305408"
"1","Madrid","2022","3280782"
"1","Madrid","2023","3332035"
"1","Madrid","2024","3332035"
"1","Madrid","2025","3332035"
"2","Madrid","2011","3265038"
"2","Madrid","2012","3233527"
"2","Madrid","2013","3207247"
"2","Madrid","2014","3165235"
"2","Madrid","2015","3141991"
"2","Madrid","2016","3165541"
"2","Madrid","2017","3182981"
"2","Madrid","2018","3223334"
"2","Madrid","2019","3266126"
"2","Madrid","2020","3334730"
"2","Madrid","2021","3305408"
"2","Madrid","2022","3280782"
"2","Madrid","2023","3332035"
"2","Madrid","2024","3332035"
"2","Madrid","2025","3332035"
